index,Zip Code,Population,People / Sq. Mile
636,14559,"15,919",382.66
637,13838,"4,956",380.5
638,10931,881,377.37
639,12839,"11,945",374.62
640,13440,"44,797",374.33
641,12051,"6,905",373.22
642,14083,43,372.22
643,13616,"2,341",370.99
644,11770,190,367.09
645,13126,"36,454",364.78
646,11949,"11,385",362.11
647,12020,"28,068",361.74
648,12542,"5,818",359.54
649,12570,"5,884",359.28
650,11980,"4,221",358.25
651,14903,"7,600",358.23
652,13357,"11,555",353.35
653,11939,777,353.18
654,13021,"41,704",344.08
655,12118,"11,767",340.76
656,10918,"11,492",340.65
657,14020,"23,055",338.17
658,14059,"8,937",337.86
659,10963,"4,660",335.94
660,13421,"13,192",335.89
661,10578,661,331.7
662,10519,156,329.62
663,11948,903,329.36
664,14420,"19,307",327.81
665,10924,"12,308",325.11
666,13748,"4,067",325.07
667,11935,"3,444",324.13
668,13313,620,324.08
669,13029,"5,684",324.06
670,13350,"9,878",324.06
671,10506,"5,537",320.81
672,14760,"20,510",317.64
673,11765,732,313.92
674,11956,316,312.87
675,12733,"1,608",312.12
676,10518,"1,552",311.39
677,14468,"16,526",309.35
678,10990,"19,315",308.6
679,12821,"3,219",307.18
680,12547,"2,350",306.29
681,11937,"13,289",306.18
682,12477,"20,199",306.12
683,13104,"14,414",305.89
684,12419,315,303.08
685,13859,213,302.57
686,12086,"1,554",302.37
687,12577,"1,614",299.6
688,14513,"14,858",298.77
689,14716,"3,641",295.48
690,12196,"2,841",295.33
691,13323,"11,772",295.1
692,12561,"17,435",294.15
693,12528,"12,770",290.49
694,10986,"1,739",290
695,13601,"36,990",289.22
696,14203,"1,009",288.6
697,11959,"1,015",282.85
698,12515,"1,068",278.89
699,14063,"14,690",278.39
700,14052,"18,248",277.1
701,12582,"4,550",275.44
702,14519,"11,020",272.43
703,13732,"8,380",269.93
704,12569,"8,842",268.79
705,14456,"20,216",267.42
706,13403,"7,919",267.07
707,12151,706,266.99
708,14464,"7,637",262.22
709,12033,"8,188",258.63
710,12721,"5,513",258.44
711,14502,"9,197",258.28
712,11978,"3,800",257.6
713,14568,"5,874",256.75
714,12015,"2,832",255.48
715,14814,"1,747",255.46
716,12571,"11,834",254.75
717,13045,"29,174",254.34
718,12759,"1,683",252.83
719,14845,"19,892",252.32
720,12143,"5,348",251.66
721,12589,"13,261",251.01
722,10973,"1,887",249.91
723,14004,"12,241",249.11
724,12489,290,245.85
725,12063,192,243.82
726,12594,"3,618",241.34
727,14564,"9,903",240.84
728,12548,"1,528",237.62
729,12439,107,237.34
730,14174,"5,742",236.6
731,10597,445,234.44
732,13602,"4,651",233.61
733,12443,"3,859",231.03
734,14032,"5,553",230.32
735,10560,"4,941",230.14
736,12779,"1,544",228.61
737,13424,"2,744",227.77
738,14034,"6,105",226.8
739,14830,"19,342",226.66
740,12010,"28,544",225.69
741,14132,"5,572",225.19
742,10985,57,221.72
743,12754,"7,130",221.61
744,13069,"26,451",221.49
745,12831,"14,204",220.64
746,10579,"7,945",219.04
747,12498,"5,417",218.9
748,14136,"5,429",217.26
749,14808,595,215.42
750,12095,"12,911",215.18
751,14108,"5,938",214.29
752,11954,"3,851",212.23
753,13037,"8,772",211.91
754,12549,"8,670",211.88
755,13078,"8,625",211.68
756,10524,"4,232",211.06
757,12463,"1,360",209.17
758,10171,1,207.69
759,13469,807,207.6
760,13120,"2,998",207.18
761,10576,"4,530",207.08
762,12534,"18,686",207.03
763,12531,"3,051",206.92
764,12481,"1,269",206.12
765,14892,"8,258",205.53
766,12841,87,205.47
767,14894,"2,531",204.75
768,12148,"2,929",203
769,13108,"6,057",202.8
770,12540,"6,633",201.11
771,14874,216,200.32
772,13082,"5,012",200.31
773,13135,"5,750",199.91
774,12158,"5,779",198.58
775,12186,"6,461",198.14
776,12078,"23,853",197.78
777,11965,"1,080",197.17
778,13820,"21,058",196.48
779,14454,"10,207",196.14
780,11933,"5,857",195.65
781,13060,"2,852",195.12
782,13795,"3,770",194.86
783,12491,"1,610",194.77
784,13030,"4,272",192.63
785,14522,"8,766",192.36
786,14424,"24,878",192.11
787,10916,"4,070",190.32
788,12184,"7,273",190.22
789,12580,"3,869",189.95
790,12487,"3,856",188.14
791,13662,"16,729",186.04
792,12751,387,185.89
793,13036,"8,462",185.61
794,12701,"11,522",184.21
795,12974,"1,540",184.13
796,13132,"4,310",183.89
797,12828,"8,358",182.36
798,11958,445,181.33
799,12566,"11,061",180.37
800,12572,"9,960",180.07
801,14589,"7,653",179.8
802,10919,562,179.76
803,12140,"1,303",177.63
804,14487,"5,786",177.53
805,14481,"3,676",177.34
806,12792,295,176.99
807,12413,"2,673",176.42
808,14057,"8,276",174.93
809,14170,"2,633",173.96
810,12173,"2,357",173.04
811,10926,"3,275",171.15
812,14472,"8,140",170.04
813,12170,"5,037",168.46
814,13669,"17,892",167.75
815,10516,"5,190",167.61
816,11964,"1,148",167.57
817,14432,"6,106",166.73
818,12789,"1,677",166.35
819,14414,"6,428",164.99
